road_segment,Latitude,Longitude
1_to_2,-1,-1
2_to_1,-1,-1
2_to_3,-1,-1
3_to_2,-1,-1
3_to_4,-1,-1
4_to_3,-1,-1
4_to_5,-1,-1
5_to_4,-1,-1
5_to_8,-1,-1
5_to_30,-1,-1
6_to_7,-1,-1
6_to_30,-1,-1
7_to_6,-1,-1
7_to_8,-1,-1
7_to_11,-1,-1
8_to_5,-1,-1
8_to_7,-1,-1
8_to_9,-1,-1
8_to_12,-1,-1
9_to_8,-1,-1
9_to_10,-1,-1
10_to_9,-1,-1
10_to_11,-1,-1
11_to_7,-1,-1
11_to_10,-1,-1
11_to_24,-1,-1
12_to_8,-1,-1
12_to_13,-1,-1
12_to_14,-1,-1
13_to_12,-1,-1
13_to_14,-1,-1
13_to_16,-1,-1
14_to_12,-1,-1
14_to_13,-1,-1
14_to_16,-1,-1
14_to_17,-1,-1
15_to_17,-1,-1
16_to_13,-1,-1
16_to_14,-1,-1
16_to_19,-1,-1
17_to_14,-1,-1
17_to_15,-1,-1
17_to_18,-1,-1
18_to_17,-1,-1
18_to_19,-1,-1
18_to_20,-1,-1
19_to_16,-1,-1
19_to_18,-1,-1
19_to_20,-1,-1
20_to_18,-1,-1
20_to_19,-1,-1
20_to_22,-1,-1
21_to_22,-1,-1
21_to_27,-1,-1
22_to_20,-1,-1
22_to_21,-1,-1
22_to_23,-1,-1
22_to_24,-1,-1
23_to_22,-1,-1
24_to_11,-1,-1
24_to_22,-1,-1
24_to_25,-1,-1
25_to_24,-1,-1
26_to_27,-1,-1
26_to_28,-1,-1
27_to_21,-1,-1
27_to_26,-1,-1
27_to_30,-1,-1
28_to_26,-1,-1
28_to_29,-1,-1
28_to_31,-1,-1
29_to_28,-1,-1
30_to_5,-1,-1
30_to_6,-1,-1
30_to_27,-1,-1
30_to_31,-1,-1
31_to_28,-1,-1
31_to_30,-1,-1
31_to_32,-1,-1
32_to_31,-1,-1
32_to_33,-1,-1
32_to_34,-1,-1
33_to_32,-1,-1
34_to_32,-1,-1
