Date,1_to_2,2_to_1,2_to_3,3_to_2,3_to_4,4_to_3,4_to_5,5_to_4,5_to_8,5_to_30,6_to_7,6_to_30,7_to_6,7_to_8,7_to_11,8_to_5,8_to_7,8_to_9,8_to_12,9_to_8,9_to_10,10_to_9,10_to_11,11_to_7,11_to_10,11_to_24,12_to_8,12_to_13,12_to_14,13_to_12,13_to_14,13_to_16,14_to_12,14_to_13,14_to_16,14_to_17,15_to_17,16_to_13,16_to_14,16_to_19,17_to_14,17_to_15,17_to_18,18_to_17,18_to_19,18_to_20,19_to_16,19_to_18,19_to_20,20_to_18,20_to_19,20_to_22,21_to_22,21_to_27,22_to_20,22_to_21,22_to_23,22_to_24,23_to_22,24_to_11,24_to_22,24_to_25,25_to_24,26_to_27,26_to_28,27_to_21,27_to_26,27_to_30,28_to_26,28_to_29,28_to_31,29_to_28,30_to_5,30_to_6,30_to_27,30_to_31,31_to_28,31_to_30,31_to_32,32_to_31,32_to_33,32_to_34,33_to_32,34_to_32
2022-08-28 00:00:00,1,0,4,3,2,2,1,2,0,1.0,1.0,1.0,0.0,1,2.0,2,2,5,0.0,8,3.0,4.0,1.0,1,3,3,4,6,9,5,8,3.0,6,3,5,7,6,4,4,2,5,3,4,1,2.0,2,5.0,3,2,7,3.0,5.0,1,0,3,0.0,4,5,6,14,4,8,11,5.0,1.0,4,2,3,0,9,1,8,1.0,1,6,15,2.0,14,9,21,0,5,1.0,13
2022-08-28 00:15:00,4,5,5,4,2,4,3,4,3,0.0,0.0,3.0,1.0,1,1.0,0,1,7,1.0,2,5.0,1.0,0.0,4,1,10,1,9,6,6,5,5.0,5,3,6,2,4,3,2,4,3,6,2,1,0.0,2,0.0,3,2,3,2.0,1.0,1,1,2,3.0,3,1,3,4,0,10,7,1.0,2.0,1,3,1,2,5,3,4,0.0,1,3,11,0.0,17,14,9,0,5,2.0,5
2022-08-28 00:30:00,0,0,0,2,3,3,1,0,1,0.0,2.0,1.0,0.0,1,2.0,1,3,1,0.0,1,3.0,1.0,0.0,1,3,2,0,8,5,3,1,2.0,1,1,7,8,4,1,0,2,4,3,7,3,2.0,8,1.0,2,4,4,1.0,0.0,1,0,1,2.0,1,2,2,5,3,5,9,2.0,3.0,2,2,1,1,1,1,3,2.0,1,1,16,1.0,9,15,7,1,5,0.0,6
2022-08-28 00:45:00,0,0,0,0,7,1,4,2,2,2.0,1.0,3.0,5.0,1,1.0,1,0,1,0.0,2,2.0,1.0,2.0,1,0,2,2,1,0,2,5,0.0,6,2,1,3,4,1,4,4,5,2,1,1,0.0,1,0.0,0,0,3,0.0,0.0,0,0,5,0.0,1,7,2,1,3,4,6,1.0,3.0,1,2,1,1,1,0,1,1.0,3,0,16,1.0,10,13,7,2,1,1.0,2
2022-08-28 01:00:00,2,1,2,2,0,3,4,1,1,0.0,0.0,2.0,1.0,3,1.0,3,0,3,3.0,2,4.0,1.0,2.0,2,1,5,3,4,4,4,4,6.0,5,4,3,3,0,2,1,4,4,0,1,1,0.0,4,4.0,1,4,5,4.0,1.0,1,0,1,0.0,5,2,1,1,1,6,5,2.0,0.0,0,2,1,3,0,1,3,2.0,2,0,7,0.0,4,5,7,0,0,1.0,3
2022-08-28 01:15:00,1,2,1,3,2,5,1,1,0,1.0,0.0,1.0,0.0,1,1.0,0,2,1,0.0,3,3.0,3.0,0.0,1,0,2,0,2,7,8,4,1.0,7,2,2,4,2,4,2,2,2,3,3,6,1.0,3,3.0,1,3,7,1.0,3.0,1,1,1,2.0,4,3,3,5,3,1,3,2.0,1.0,1,2,2,0,1,1,1,0.0,1,5,10,0.0,2,7,10,1,2,0.0,6
2022-08-28 01:30:00,1,1,1,2,2,4,3,0,0,1.0,0.0,0.0,0.0,0,0.0,0,0,2,0.0,1,2.0,1.0,3.0,1,1,3,0,1,3,2,1,1.0,0,2,4,2,0,3,7,4,1,1,1,0,2.0,3,1.0,0,1,1,0.0,0.0,0,2,0,3.0,2,0,1,4,1,0,1,2.0,2.0,1,2,1,1,2,0,4,0.0,0,0,6,0.0,5,8,5,1,4,0.0,4
2022-08-28 01:45:00,2,0,1,2,0,0,1,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,4,0.0,2,3.0,2.0,2.0,0,0,3,0,2,1,1,0,0.0,2,1,3,3,3,1,4,1,3,0,2,5,0.0,4,1.0,1,2,4,1.0,2.0,3,0,1,1.0,0,3,2,2,0,2,2,0.0,1.0,0,0,0,0,1,0,2,1.0,0,0,4,0.0,1,2,4,2,3,0.0,0
2022-08-28 02:00:00,1,1,2,0,2,2,0,1,0,1.0,0.0,0.0,0.0,1,0.0,0,0,0,0.0,2,1.0,2.0,0.0,0,2,2,0,2,3,3,1,0.0,1,0,5,3,2,2,3,2,3,2,4,0,1.0,1,1.0,1,1,2,0.0,5.0,1,1,4,0.0,1,1,4,2,2,3,2,0.0,0.0,0,1,1,1,0,0,2,0.0,1,1,3,0.0,3,4,4,1,3,0.0,1
2022-08-28 02:15:00,0,0,1,0,1,1,0,0,1,0.0,0.0,1.0,0.0,0,0.0,0,0,2,0.0,2,1.0,2.0,2.0,1,1,2,1,1,1,1,1,0.0,1,1,3,3,1,0,4,1,0,3,2,5,1.0,3,2.0,0,0,3,3.0,1.0,1,0,0,0.0,1,1,1,2,1,3,4,1.0,0.0,1,0,1,1,3,0,3,0.0,0,1,1,0.0,6,3,6,0,3,0.0,2
2022-08-28 02:30:00,0,0,0,0,1,0,1,0,0,0.0,1.0,0.0,2.0,0,0.0,2,1,2,0.0,2,2.0,2.0,0.0,0,1,1,0,0,1,0,0,4.0,0,2,5,0,1,3,0,1,3,1,0,1,3.0,0,2.0,0,3,4,4.0,2.0,0,0,0,0.0,0,0,1,0,0,2,1,1.0,0.0,0,2,1,0,1,1,4,1.0,1,2,5,1.0,0,1,2,0,2,0.0,0
2022-08-28 02:45:00,1,0,1,3,0,2,0,2,0,0.0,1.0,1.0,1.0,0,0.0,0,0,0,0.0,1,1.0,0.0,0.0,0,0,6,1,0,0,0,1,0.0,0,2,0,3,1,3,3,0,1,2,3,0,0.0,0,0.0,0,1,0,1.0,0.0,1,1,0,0.0,3,2,3,3,1,2,3,0.0,0.0,0,0,1,0,1,0,0,1.0,1,0,2,0.0,1,5,2,0,2,0.0,1
2022-08-28 03:00:00,0,0,1,0,0,2,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,2,0.0,4,3.0,0.0,1.0,0,1,1,0,0,1,0,3,0.0,1,1,1,0,0,1,4,0,0,0,4,0,0.0,3,1.0,2,1,0,1.0,1.0,2,2,0,1.0,0,1,0,3,0,4,1,1.0,0.0,1,0,2,0,1,0,0,2.0,1,0,2,1.0,3,4,2,0,0,0.0,1
2022-08-28 03:15:00,0,0,0,0,1,1,0,0,0,1.0,1.0,0.0,0.0,0,1.0,0,1,0,0.0,1,1.0,1.0,0.0,2,0,2,0,0,2,1,1,3.0,3,1,4,1,4,0,0,0,0,1,0,4,2.0,2,0.0,0,0,2,2.0,1.0,1,0,1,1.0,0,0,1,0,1,4,0,2.0,0.0,2,3,0,0,0,0,0,0.0,0,0,3,0.0,2,3,4,1,1,0.0,2
2022-08-28 03:30:00,1,1,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0.0,0,1.0,0.0,0.0,0,0,4,0,1,0,1,0,1.0,1,0,0,1,1,1,3,1,0,3,3,1,0.0,1,0.0,1,0,2,0.0,1.0,0,1,0,1.0,0,0,0,2,0,3,0,2.0,2.0,0,0,1,1,0,0,0,1.0,0,4,3,0.0,3,0,4,0,2,2.0,1
2022-08-28 03:45:00,0,0,0,1,2,1,0,1,1,1.0,1.0,0.0,0.0,0,1.0,0,0,1,1.0,1,0.0,0.0,0.0,1,1,2,0,2,1,2,1,3.0,2,0,7,1,1,1,3,3,1,2,2,2,3.0,1,1.0,2,2,1,1.0,0.0,2,1,0,0.0,0,1,0,1,1,3,2,0.0,1.0,0,1,2,1,1,0,0,0.0,0,2,3,0.0,3,1,1,0,0,0.0,0
2022-08-28 04:00:00,1,0,0,0,1,1,0,0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,3,0,1,2,1,2,1.0,1,0,0,1,0,1,1,1,0,0,0,0,1.0,3,1.0,1,1,1,0.0,1.0,1,0,0,0.0,0,0,0,0,1,2,0,1.0,0.0,0,0,3,2,0,0,1,0.0,0,1,5,0.0,3,7,5,0,1,0.0,0
2022-08-28 04:15:00,0,1,0,1,1,1,0,0,1,0.0,0.0,1.0,1.0,0,0.0,0,0,0,1.0,1,0.0,1.0,0.0,0,1,2,0,1,1,1,0,1.0,3,1,4,3,0,3,0,1,1,1,1,2,1.0,2,1.0,0,2,1,2.0,1.0,0,0,0,0.0,1,0,0,2,1,4,2,0.0,0.0,0,0,2,1,1,0,1,0.0,0,0,4,0.0,3,2,1,1,1,0.0,0
2022-08-28 04:30:00,1,0,2,1,1,2,1,0,0,0.0,0.0,2.0,0.0,0,0.0,1,0,1,0.0,1,1.0,0.0,0.0,0,1,2,0,0,2,0,1,0.0,1,2,1,0,1,1,0,0,0,0,1,1,1.0,0,0.0,0,0,1,1.0,1.0,3,4,0,0.0,1,0,0,0,1,2,2,0.0,0.0,0,2,2,1,0,0,1,2.0,0,3,5,0.0,0,2,1,0,2,0.0,4
2022-08-28 04:45:00,0,0,0,1,1,0,0,0,0,0.0,0.0,1.0,1.0,0,0.0,1,0,0,0.0,3,1.0,0.0,1.0,4,1,4,1,2,0,1,0,1.0,0,0,0,3,2,3,1,1,1,0,1,1,1.0,2,0.0,0,1,0,0.0,2.0,0,0,0,2.0,1,1,0,0,1,3,1,1.0,0.0,0,3,1,2,2,1,1,1.0,2,1,1,0.0,7,1,3,0,1,0.0,1
2022-08-28 05:00:00,1,1,1,1,3,1,0,0,0,0.0,0.0,2.0,0.0,0,0.0,0,0,3,0.0,1,1.0,3.0,0.0,1,1,3,0,2,0,0,2,0.0,2,2,1,1,1,3,2,0,1,1,1,1,0.0,1,0.0,0,3,2,1.0,0.0,1,3,1,0.0,0,1,2,0,0,0,1,0.0,0.0,2,0,1,0,2,0,2,0.0,3,1,2,2.0,5,5,2,0,0,1.0,2
2022-08-28 05:15:00,0,2,1,1,2,3,0,3,0,2.0,0.0,2.0,0.0,0,0.0,4,2,2,1.0,1,2.0,4.0,1.0,0,0,1,0,2,1,2,1,0.0,1,1,1,0,2,0,0,0,3,1,5,0,0.0,1,1.0,1,3,3,0.0,1.0,4,1,1,1.0,0,1,0,2,2,1,1,2.0,0.0,1,0,2,0,4,2,3,0.0,0,0,10,2.0,2,6,2,1,0,1.0,0
2022-08-28 05:30:00,0,0,4,4,3,7,3,9,0,1.0,1.0,2.0,2.0,0,0.0,1,0,0,0.0,1,2.0,1.0,2.0,0,2,3,1,1,2,2,2,2.0,1,0,0,1,4,0,1,1,0,3,2,0,0.0,0,0.0,0,1,0,0.0,2.0,0,0,2,1.0,0,2,2,5,0,0,1,0.0,0.0,2,0,1,0,4,2,6,3.0,4,1,8,0.0,5,9,6,0,2,1.0,4
2022-08-28 05:45:00,1,1,1,2,4,6,4,2,4,1.0,2.0,6.0,3.0,0,0.0,2,2,2,0.0,2,0.0,3.0,1.0,2,2,15,0,2,1,0,1,0.0,1,0,0,1,1,4,2,0,1,2,2,3,2.0,2,1.0,0,2,2,2.0,1.0,0,2,2,0.0,0,2,2,7,1,4,5,0.0,0.0,0,1,5,0,3,0,2,4.0,4,2,17,0.0,9,13,7,1,7,2.0,3
2022-08-28 06:00:00,2,0,4,7,6,8,3,6,2,1.0,2.0,4.0,0.0,0,0.0,2,2,3,0.0,4,5.0,3.0,3.0,3,0,10,0,0,3,2,1,1.0,1,2,2,1,5,0,0,1,2,1,1,3,2.0,5,0.0,2,1,2,2.0,2.0,3,1,4,3.0,4,2,0,4,5,8,1,1.0,3.0,1,0,5,0,6,2,3,2.0,5,2,12,0.0,6,7,8,1,3,1.0,1
2022-08-28 06:15:00,0,2,5,7,5,13,5,11,0,1.0,2.0,6.0,2.0,0,1.0,6,0,5,1.0,5,1.0,4.0,4.0,2,3,12,1,0,3,1,4,0.0,2,0,2,3,1,1,3,1,5,5,5,1,1.0,1,0.0,1,3,5,2.0,3.0,2,0,1,0.0,2,1,3,5,2,5,5,1.0,2.0,2,1,9,0,3,1,1,5.0,9,3,17,1.0,7,21,8,3,11,2.0,2
2022-08-28 06:30:00,0,4,5,14,3,8,3,9,1,3.0,4.0,8.0,3.0,1,0.0,1,1,6,1.0,7,4.0,5.0,1.0,4,12,8,1,4,3,4,1,1.0,1,0,0,2,2,2,4,0,4,2,3,4,3.0,2,1.0,1,0,2,2.0,2.0,3,4,1,0.0,4,4,8,25,1,5,6,0.0,4.0,3,0,6,1,5,1,2,3.0,8,5,18,1.0,14,25,11,1,5,2.0,2
2022-08-28 06:45:00,1,3,1,13,14,16,6,18,2,3.0,3.0,3.0,3.0,1,2.0,2,1,1,2.0,8,5.0,6.0,3.0,2,2,28,2,3,1,4,2,1.0,6,1,2,2,1,4,3,2,5,2,1,3,0.0,2,3.0,1,2,0,3.0,6.0,2,3,0,0.0,6,1,4,13,3,9,8,0.0,1.0,2,0,7,2,4,2,5,7.0,7,5,18,1.0,14,20,18,1,10,3.0,5
2022-08-28 07:00:00,3,2,4,14,13,13,5,5,3,5.0,3.0,13.0,2.0,0,3.0,0,2,7,0.0,11,2.0,4.0,11.0,3,4,31,2,5,4,4,0,3.0,4,2,4,3,5,8,0,1,5,1,2,2,0.0,2,1.0,1,0,1,1.0,5.0,4,2,1,5.0,4,1,4,18,1,12,4,1.0,1.0,4,4,7,2,6,3,2,6.0,15,5,20,3.0,11,24,10,1,8,2.0,7
2022-08-28 07:15:00,3,1,9,11,13,10,6,8,7,3.0,4.0,8.0,4.0,0,4.0,5,1,6,1.0,7,3.0,6.0,7.0,7,6,26,0,6,4,8,0,1.0,6,0,2,1,4,2,1,0,3,2,6,2,2.0,3,3.0,1,2,2,0.0,5.0,1,1,0,0.0,7,2,6,17,1,6,10,1.0,2.0,0,1,7,0,7,4,7,2.0,12,6,27,2.0,17,24,16,3,6,3.0,10
2022-08-28 07:30:00,0,1,17,6,10,15,10,8,2,7.0,0.0,11.0,5.0,0,0.0,3,1,9,2.0,6,6.0,5.0,4.0,5,34,43,1,3,1,3,3,4.0,5,2,5,3,13,3,4,4,4,2,10,6,3.0,8,3.0,3,3,4,8.0,5.0,3,5,2,2.0,6,5,6,61,3,19,15,5.0,1.0,3,3,11,2,10,5,4,1.0,7,4,19,1.0,17,19,24,1,4,4.0,8
2022-08-28 07:45:00,2,1,14,10,19,12,15,12,8,8.0,5.0,14.0,8.0,5,4.0,1,3,4,1.0,14,9.0,8.0,1.0,7,14,31,0,7,4,12,3,4.0,5,3,2,3,6,4,2,3,5,3,6,5,1.0,4,2.0,2,3,4,4.0,4.0,4,4,2,2.0,4,2,6,35,5,8,13,4.0,5.0,3,0,5,5,9,2,7,6.0,14,8,29,4.0,26,26,35,3,18,4.0,16
2022-08-28 08:00:00,0,2,14,15,21,27,19,12,8,10.0,2.0,13.0,8.0,1,3.0,3,5,18,6.0,22,8.0,12.0,11.0,4,25,24,2,12,8,12,4,1.0,4,2,1,5,3,6,5,3,7,9,11,2,5.0,7,1.0,0,1,6,2.0,2.0,6,5,3,4.0,15,7,8,42,2,13,12,3.0,4.0,4,4,8,3,7,4,6,8.0,19,12,28,7.0,34,46,28,1,16,1.0,17
2022-08-28 08:15:00,2,4,19,13,21,18,13,13,4,4.0,5.0,16.0,4.0,6,3.0,2,4,20,1.0,15,9.0,16.0,8.0,5,5,54,1,15,4,13,6,3.0,10,4,7,8,9,3,6,2,7,7,7,4,2.0,4,2.0,4,2,4,5.0,2.0,11,10,4,2.0,14,6,10,29,5,23,18,1.0,5.0,10,4,15,6,9,5,5,3.0,13,11,44,2.0,44,40,44,4,17,2.0,23
2022-08-28 08:30:00,7,5,16,13,23,15,8,10,3,9.0,4.0,31.0,5.0,4,4.0,3,6,14,5.0,28,10.0,6.0,23.0,8,14,77,0,17,5,14,4,3.0,7,2,3,2,7,2,2,5,9,7,14,11,3.0,5,4.0,3,3,9,3.0,7.0,7,7,1,5.0,9,3,15,65,6,23,16,5.0,4.0,4,9,20,7,4,12,8,3.0,21,6,45,7.0,38,45,34,9,23,5.0,20
2022-08-28 08:45:00,5,4,13,10,20,25,19,19,3,8.0,8.0,26.0,9.0,5,6.0,7,6,14,3.0,21,9.0,8.0,11.0,4,37,46,2,11,8,14,4,4.0,8,8,9,4,7,7,6,3,5,6,10,11,4.0,8,4.0,2,7,6,3.0,5.0,6,6,6,11.0,10,8,16,45,8,29,25,12.0,9.0,4,4,23,8,13,10,11,5.0,41,18,81,8.0,55,53,54,7,32,8.0,28
