from,to,cost
1,2,600.5026882990325
2,3,386.0032086841648
2,1,600.5026882990325
3,2,386.0032086841648
3,4,177.3101545972552
4,3,177.3101545972552
4,5,1085.869540980294
5,8,1083.4114567540935
5,4,1085.869540980294
5,30,1603.1269224148098
6,7,457.7544064966601
6,30,691.2924645624873
7,8,911.1641927444701
7,11,494.08809570730347
7,6,457.7544064966601
8,7,911.1641927444701
8,9,487.47988735652973
8,12,710.5651667191277
8,5,1083.4114567540935
9,8,487.47988735652973
9,10,501.91621466236916
10,9,501.91621466236916
10,11,1269.9447473460268
11,7,494.08809570730347
11,10,1269.9447473460268
11,24,948.9908130117803
12,14,487.68881361450605
12,8,710.5651667191277
12,13,281.4311636022845
13,16,453.3221390654433
13,14,394.79813368902774
13,12,281.4311636022845
14,12,487.68881361450605
14,16,542.2391343676836
14,17,402.4263407561775
14,13,394.79813368902774
15,17,669.2331598833649
16,14,542.2391343676836
16,13,453.3221390654433
16,19,624.7878051727225
17,14,402.4263407561775
17,18,898.913891390885
17,15,669.2331598833649
18,20,700.0169450779423
18,17,898.913891390885
18,19,491.561580338025
19,18,491.561580338025
19,16,624.7878051727225
19,20,336.8710915449725
20,22,573.5136227850395
20,18,700.0169450779423
20,19,336.8710915449725
21,22,494.90159585312006
21,27,931.9347479654538
22,20,573.5136227850395
22,24,384.3435379059099
22,21,494.90159585312006
22,23,344.284548422617
23,22,344.284548422617
24,22,384.3435379059099
24,25,673.6102898620368
24,11,948.9908130117803
25,24,673.6102898620368
26,28,916.3465809146211
26,27,328.96939143407513
27,30,502.6247120281414
27,21,931.9347479654538
27,26,328.96939143407513
28,29,229.621061793096
28,31,588.5621683260796
28,26,916.3465809146211
29,28,229.621061793096
30,27,502.6247120281414
30,31,697.855877115858
30,6,691.2924645624873
30,5,1603.1269224148098
31,30,697.855877115858
31,28,588.5621683260796
31,32,540.7193363667925
32,34,448.6906092023458
32,33,429.65235104260177
32,31,540.7193363667925
33,32,429.65235104260177
34,32,448.6906092023458
