road_segment,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6
1,2,,,,,
2,3,1,,,,
3,2,4,,,,
4,3,5,,,,
5,8,4,30,,,
6,7,30,,,,
7,8,11,6,,,
8,7,9,12,5,,
9,8,10,,,,
10,9,11,,,,
11,7,10,24,,,
12,14,8,13,,,
13,16,14,12,,,
14,12,16,17,13,,
15,17,,,,,
16,14,13,19,,,
17,14,18,15,,,
18,20,17,19,,,
19,18,16,20,,,
20,22,18,19,,,
21,22,27,,,,
22,20,24,21,23,,
23,22,,,,,
24,22,25,11,,,
25,24,,,,,
26,28,27,,,,
27,30,21,26,,,
28,29,31,26,,,
29,28,,,,,
30,27,31,6,5,,
31,30,28,32,,,
32,34,33,31,,,
33,32,,,,,
34,32,,,,,
