from_to,point_to_from,cost
1_to_2,2_to_1,600.5026882990325
2_to_3,1_to_2,600.5026882990325
2_to_3,3_to_2,386.0032086841648
2_to_1,1_to_2,600.5026882990325
2_to_1,3_to_2,386.0032086841648
3_to_2,2_to_3,386.0032086841648
3_to_2,4_to_3,177.3101545972552
3_to_4,2_to_3,386.0032086841648
3_to_4,4_to_3,177.3101545972552
4_to_3,3_to_4,177.3101545972552
4_to_3,5_to_4,1085.869540980294
4_to_5,3_to_4,177.3101545972552
4_to_5,5_to_4,1085.869540980294
5_to_8,4_to_5,1085.869540980294
5_to_8,8_to_5,1083.4114567540937
5_to_8,30_to_5,1603.1269224148098
5_to_4,4_to_5,1085.869540980294
5_to_4,8_to_5,1083.4114567540937
5_to_4,30_to_5,1603.1269224148098
5_to_30,4_to_5,1085.869540980294
5_to_30,8_to_5,1083.4114567540937
5_to_30,30_to_5,1603.1269224148098
6_to_7,7_to_6,457.7544064966601
6_to_7,30_to_6,691.2924645624873
6_to_30,7_to_6,457.7544064966601
6_to_30,30_to_6,691.2924645624873
7_to_8,6_to_7,457.7544064966601
7_to_8,8_to_7,911.16419274447
7_to_8,11_to_7,494.08809570730347
7_to_11,6_to_7,457.7544064966601
7_to_11,8_to_7,911.16419274447
7_to_11,11_to_7,494.08809570730347
7_to_6,6_to_7,457.7544064966601
7_to_6,8_to_7,911.16419274447
7_to_6,11_to_7,494.08809570730347
8_to_7,5_to_8,1083.4114567540937
8_to_7,7_to_8,911.16419274447
8_to_7,9_to_8,487.4798873565297
8_to_7,12_to_8,710.5651667191277
8_to_9,5_to_8,1083.4114567540937
8_to_9,7_to_8,911.16419274447
8_to_9,9_to_8,487.4798873565297
8_to_9,12_to_8,710.5651667191277
8_to_12,5_to_8,1083.4114567540937
8_to_12,7_to_8,911.16419274447
8_to_12,9_to_8,487.4798873565297
8_to_12,12_to_8,710.5651667191277
8_to_5,5_to_8,1083.4114567540937
8_to_5,7_to_8,911.16419274447
8_to_5,9_to_8,487.4798873565297
8_to_5,12_to_8,710.5651667191277
9_to_8,8_to_9,487.4798873565297
9_to_8,10_to_9,501.9162146623692
9_to_10,8_to_9,487.4798873565297
9_to_10,10_to_9,501.9162146623692
10_to_9,9_to_10,501.9162146623692
10_to_9,11_to_10,1269.9447473460268
10_to_11,9_to_10,501.9162146623692
10_to_11,11_to_10,1269.9447473460268
11_to_7,7_to_11,494.08809570730347
11_to_7,10_to_11,1269.9447473460268
11_to_7,24_to_11,948.9908130117803
11_to_10,7_to_11,494.08809570730347
11_to_10,10_to_11,1269.9447473460268
11_to_10,24_to_11,948.9908130117803
11_to_24,7_to_11,494.08809570730347
11_to_24,10_to_11,1269.9447473460268
11_to_24,24_to_11,948.9908130117803
12_to_14,8_to_12,710.5651667191277
12_to_14,13_to_12,281.4311636022845
12_to_14,14_to_12,487.6888136145061
12_to_8,8_to_12,710.5651667191277
12_to_8,13_to_12,281.4311636022845
12_to_8,14_to_12,487.6888136145061
12_to_13,8_to_12,710.5651667191277
12_to_13,13_to_12,281.4311636022845
12_to_13,14_to_12,487.6888136145061
13_to_16,12_to_13,281.4311636022845
13_to_16,14_to_13,394.7981336890277
13_to_16,16_to_13,453.3221390654433
13_to_14,12_to_13,281.4311636022845
13_to_14,14_to_13,394.7981336890277
13_to_14,16_to_13,453.3221390654433
13_to_12,12_to_13,281.4311636022845
13_to_12,14_to_13,394.7981336890277
13_to_12,16_to_13,453.3221390654433
14_to_12,12_to_14,487.6888136145061
14_to_12,13_to_14,394.7981336890277
14_to_12,16_to_14,542.2391343676836
14_to_12,17_to_14,402.4263407561775
